HTTP(S) Proxy list updated at 2023-05-02 05:00:01 GMT+7
Support us:
BTC: 1GeZeEnrV4SibfS5yDwuzY3w7n94ZE3zMQ
ETH: 0x6dce795c56d1485213d689ef98277c9fb7e7a6d2
XMR: 8AGZWnqriYzQjq7hzoTzVWbQNvGeke8AHdk1tVHFqUtfX1oqDY632kwaSnZZqEtFzD4fZN3CUfC7JXy5eM5MBfhbFmcB3h3
LTC: MAG1cWWEpgdviZChWvr2oyuxD61JPJ1Q43
Fromat: CountryFlag IP:PORT ResponseTime CountryCode [ISP]

🇧🇷 35.247.204.70:3129 1606ms BR [Google LLC]
🇮🇳 159.65.148.248:3128 1396ms IN [DigitalOcean, LLC]
🇨🇴 186.97.102.68:999 3379ms CO [Colombia Móvil]
🇫🇮 65.109.12.77:8080 435ms FI [Hetzner Online GmbH]
🇫🇮 65.109.225.189:8080 676ms FI [Hetzner Online GmbH]
🇩🇪 217.76.54.115:8080 658ms DE [Adept AB]
🇩🇪 195.201.119.135:8080 432ms DE [Hetzner Online GmbH]
🇩🇪 195.201.6.108:8080 517ms DE [Hetzner Online GmbH]
🇩🇪 157.90.157.82:8080 574ms DE [Hetzner Online GmbH]
🇩🇪 157.90.16.197:8080 557ms DE [Hetzner Online GmbH]
🇩🇪 116.203.249.116:8080 420ms DE [Hetzner Online GmbH]
🇩🇪 116.203.58.97:8080 447ms DE [Hetzner Online GmbH]
🇩🇪 91.107.206.99:8080 293ms DE [Hetzner Online AG]
🇩🇪 78.47.203.68:8080 485ms DE [Hetzner Online GmbH]
🇩🇪 116.203.26.43:8080 515ms DE [Hetzner Online GmbH]
🇩🇪 116.203.129.42:8080 381ms DE [Hetzner Online GmbH]
🇩🇪 88.99.172.201:8080 528ms DE [Hetzner Online GmbH]
🇩🇪 91.107.216.77:8080 596ms DE [Hetzner Online AG]
🇩🇪 83.171.248.82:80 469ms DE [Contabo GmbH]
🇩🇪 116.203.120.106:8080 670ms DE [Hetzner Online GmbH]
🇩🇪 91.107.204.98:8080 686ms DE [Hetzner Online AG]
🇩🇪 88.99.174.249:8080 371ms DE [Hetzner Online GmbH]
🇩🇪 128.140.3.26:8080 745ms DE [Hetzner Online GmbH]
🇩🇪 116.203.88.223:8080 484ms DE [Hetzner Online GmbH]
🇺🇸 5.78.76.77:8080 1380ms US [Hetzner Online GmbH]
🇺🇸 5.161.141.247:8080 754ms US [Hetzner Online GmbH]
🇩🇪 138.201.154.227:8080 521ms DE [Hetzner Online GmbH]
🇫🇮 65.21.244.31:8080 1650ms FI [Hetzner Online GmbH]
🇩🇪 49.13.2.254:8080 473ms DE [Hetzner Online GmbH]
🇩🇪 128.140.90.167:8080 672ms DE [Hetzner Online GmbH]
🇩🇪 49.13.1.238:8080 715ms DE [Hetzner Online GmbH]
🇫🇮 135.181.250.217:8080 683ms FI [Hetzner Online GmbH]
🇩🇪 128.140.63.196:8080 660ms DE [Hetzner Online GmbH]
🇩🇪 128.140.94.28:8080 293ms DE [Hetzner Online GmbH]
🇩🇪 49.12.219.253:8080 614ms DE [Hetzner Online GmbH]
🇩🇪 167.235.144.131:8080 364ms DE [Hetzner Online GmbH]
🇩🇪 128.140.93.246:8080 364ms DE [Hetzner Online GmbH]
🇩🇪 49.12.230.49:8080 625ms DE [Hetzner Online GmbH]
🇩🇪 167.235.229.11:8080 581ms DE [Hetzner Online GmbH]
🇩🇪 128.140.9.127:8080 544ms DE [Hetzner Online GmbH]
🇺🇸 5.78.42.109:8080 2039ms US [Hetzner Online GmbH]
🇫🇮 65.21.146.223:8080 536ms FI [Hetzner Online GmbH]
🇫🇮 95.217.3.63:8080 676ms FI [Hetzner Online GmbH]
🇩🇪 167.235.200.244:8080 447ms DE [Hetzner Online GmbH]
🇫🇮 135.181.104.145:8080 629ms FI [Hetzner Online GmbH]
🇫🇮 65.109.173.52:8080 726ms FI [Hetzner Online GmbH]
🇩🇪 167.235.78.17:8080 541ms DE [Hetzner Online GmbH]
🇩🇪 167.235.142.180:8080 535ms DE [Hetzner Online GmbH]
🇫🇮 65.109.138.139:8080 581ms FI [Hetzner Online GmbH]
🇫🇮 135.181.97.114:8080 762ms FI [Hetzner Online GmbH]
🇫🇮 65.109.193.108:8080 563ms FI [Hetzner Online GmbH]
🇫🇮 65.109.167.111:8080 566ms FI [Hetzner Online GmbH]
🇫🇮 135.181.251.25:8080 834ms FI [Hetzner Online GmbH]
🇫🇮 135.181.150.234:8080 757ms FI [Hetzner Online GmbH]
🇫🇮 95.217.20.92:8080 794ms FI [Hetzner Online GmbH]
🇫🇮 65.109.134.6:8080 1657ms FI [Hetzner Online GmbH]
🇫🇮 65.21.178.161:8080 844ms FI [Hetzner Online GmbH]
🇫🇮 135.181.31.199:8080 799ms FI [Hetzner Online GmbH]
🇫🇮 65.109.171.79:8080 640ms FI [Hetzner Online GmbH]
🇫🇮 95.217.234.46:8080 550ms FI [Hetzner Online GmbH]
🇫🇮 65.108.221.163:8080 541ms FI [Hetzner Online GmbH]
🇫🇮 95.216.199.152:8080 549ms FI [Hetzner Online GmbH]
🇫🇮 95.216.198.133:8080 543ms FI [Hetzner Online GmbH]
🇩🇪 159.69.94.180:8080 455ms DE [Hetzner Online GmbH]
🇩🇪 159.69.55.59:8080 553ms DE [Hetzner Online GmbH]
🇫🇮 65.109.238.35:8080 627ms FI [Hetzner Online GmbH]
🇫🇮 135.181.33.197:8080 661ms FI [Hetzner Online GmbH]
🇫🇮 65.108.221.246:8080 471ms FI [Hetzner Online GmbH]
🇫🇮 135.181.95.90:8080 673ms FI [Hetzner Online GmbH]
🇫🇮 65.109.230.105:8080 656ms FI [Hetzner Online GmbH]
🇫🇮 65.21.250.6:8080 817ms FI [Hetzner Online GmbH]
🇺🇸 5.161.125.25:8080 921ms US [Hetzner Online GmbH]
🇫🇮 65.109.143.239:8080 552ms FI [Hetzner Online GmbH]
🇫🇮 95.217.176.40:8080 487ms FI [Hetzner Online GmbH]
🇫🇮 65.109.7.103:8080 563ms FI [Hetzner Online GmbH]
🇫🇮 65.109.138.100:8080 610ms FI [Hetzner Online GmbH]
🇫🇮 65.108.48.146:8080 728ms FI [Hetzner Online GmbH]
🇩🇪 49.12.103.88:8080 455ms DE [Hetzner Online GmbH]
🇩🇪 159.69.51.48:8080 414ms DE [Hetzner Online GmbH]
🇫🇮 65.109.168.218:8080 687ms FI [Hetzner Online GmbH]
🇩🇪 49.12.213.71:8080 653ms DE [Hetzner Online GmbH]
🇩🇪 159.69.114.150:8080 542ms DE [Hetzner Online GmbH]
🇫🇮 65.109.173.131:8080 727ms FI [Hetzner Online GmbH]
🇩🇪 159.69.113.91:8080 554ms DE [Hetzner Online GmbH]
🇫🇮 65.21.49.21:8080 705ms FI [Hetzner Online GmbH]
🇫🇮 135.181.198.30:8080 540ms FI [Hetzner Online GmbH]
🇩🇪 159.69.111.197:8080 373ms DE [Hetzner Online GmbH]
🇫🇮 65.108.210.197:8080 562ms FI [Hetzner Online GmbH]
🇩🇪 195.201.35.152:8080 483ms DE [Hetzner Online GmbH]
🇩🇪 157.90.167.77:8080 388ms DE [Hetzner Online GmbH]
🇩🇪 159.69.30.194:8080 731ms DE [Hetzner Online GmbH]
🇩🇪 159.69.192.63:8080 564ms DE [Hetzner Online GmbH]
🇩🇪 142.132.232.199:8080 900ms DE [Hetzner Online GmbH]
🇫🇮 95.216.188.138:8080 517ms FI [Hetzner Online GmbH]
🇯🇵 133.186.229.93:3128 1905ms JP [NHN]
🇸🇬 157.245.156.176:3128 1381ms SG [DigitalOcean, LLC]
🇺🇸 164.90.253.93:3128 1314ms US [DigitalOcean, LLC]
🇧🇷 35.247.254.207:3129 1448ms BR [Google LLC]
🇧🇴 186.121.235.220:8080 1935ms BO [AXS Bolivia S. A.]
🇧🇷 35.247.228.213:3129 1406ms BR [Google LLC]
🇧🇷 35.247.246.246:3129 1460ms BR [Google LLC]
🇧🇷 35.247.203.199:3129 1534ms BR [Google LLC]
🇧🇷 35.247.219.188:3129 1527ms BR [Google LLC]
🇧🇷 35.247.243.183:3129 1765ms BR [Google LLC]
🇺🇸 43.153.62.57:3128 2683ms US [Shenzhen Tencent Computer Systems Company Limited]
🇧🇷 35.247.241.32:3129 1597ms BR [Google LLC]
🇧🇷 35.247.234.177:3129 1440ms BR [Google LLC]
🇧🇷 35.247.240.165:3129 1425ms BR [Google LLC]
🇧🇷 35.247.220.179:3129 1558ms BR [Google LLC]
🇧🇷 35.247.214.82:3129 3227ms BR [Google LLC]
🇧🇷 35.247.251.168:3129 1491ms BR [Google LLC]
🇧🇷 35.247.246.228:3129 1377ms BR [Google LLC]
🇧🇷 35.247.204.98:3129 1390ms BR [Google LLC]
🇧🇷 35.247.239.123:3129 1460ms BR [Google LLC]
🇧🇷 35.247.200.244:3129 1406ms BR [Google LLC]
🇧🇷 35.247.230.178:3129 1610ms BR [Google LLC]
🇧🇷 35.247.193.135:3129 1500ms BR [Google LLC]
🇧🇷 35.247.208.207:3129 1587ms BR [Google LLC]
🇧🇷 35.247.226.255:3129 1376ms BR [Google LLC]
🇧🇷 35.247.203.94:3129 1666ms BR [Google LLC]
🇧🇷 35.247.239.209:3129 1469ms BR [Google LLC]
🇩🇪 49.12.106.252:8080 554ms DE [Hetzner Online GmbH]
🇮🇩 103.181.142.154:3128 1431ms ID [PT Cloud Hosting Indonesia]
🇺🇸 15.204.204.165:3128 2303ms US [OVH SAS]
🇧🇷 35.247.208.139:3129 1528ms BR [Google LLC]
🇺🇸 205.213.80.8:8009 1559ms US [WiscNet]
🇰🇭 202.8.74.9:8080 3379ms KH [Turbotech CO.]
🇺🇸 34.150.148.229:80 1034ms US [Google LLC]
🇲🇽 200.110.105.67:999 3708ms MX [Wistarip S De RL De CV]
🇭🇰 47.242.3.214:8081 1000ms HK [Alibaba.com LLC]
🇩🇪 138.197.180.177:3128 2920ms DE [DigitalOcean, LLC]
🇩🇪 185.16.61.36:45212 2800ms DE [netcup GmbH]
🇧🇷 35.247.248.46:3129 1377ms BR [Google LLC]
🇧🇷 35.247.205.198:3129 1567ms BR [Google LLC]
🇧🇷 35.247.199.47:3129 1430ms BR [Google LLC]
🇧🇷 35.247.218.71:3129 1600ms BR [Google LLC]
🇧🇷 35.247.247.141:3129 1596ms BR [Google LLC]
🇧🇷 35.247.243.35:3129 2091ms BR [Google LLC]
🇧🇷 35.247.254.240:3129 1351ms BR [Google LLC]
🇧🇷 35.247.204.82:3129 2561ms BR [Google LLC]
🇧🇷 35.247.230.245:3129 1354ms BR [Google LLC]
🇧🇷 35.247.253.239:3129 2463ms BR [Google LLC]
🇧🇷 35.247.242.101:3129 1601ms BR [Google LLC]
🇧🇷 35.247.236.15:3129 2519ms BR [Google LLC]
🇧🇷 35.247.198.109:3129 1380ms BR [Google LLC]
🇧🇷 35.247.255.188:3129 1631ms BR [Google LLC]
🇧🇷 35.247.248.104:3129 1460ms BR [Google LLC]
🇧🇷 35.247.245.218:3129 2787ms BR [Google LLC]
🇧🇷 35.247.243.5:3129 1409ms BR [Google LLC]
🇧🇷 35.247.236.135:3129 1516ms BR [Google LLC]
🇧🇷 35.247.234.213:3129 1637ms BR [Google LLC]
🇧🇷 35.247.232.115:3129 2406ms BR [Google LLC]
🇧🇷 35.247.228.52:3129 1419ms BR [Google LLC]
🇧🇷 35.247.209.139:3129 1426ms BR [Google LLC]
🇧🇷 35.247.198.196:3129 1459ms BR [Google LLC]
🇧🇷 35.247.197.18:3129 1941ms BR [Google LLC]
🇧🇷 35.247.196.253:3129 1863ms BR [Google LLC]
🇧🇷 35.247.214.238:3129 1774ms BR [Google LLC]
🇧🇷 35.247.208.170:3129 1435ms BR [Google LLC]
🇧🇷 35.247.192.233:3129 1582ms BR [Google LLC]
🇧🇷 35.247.227.219:3129 1428ms BR [Google LLC]
🇧🇷 35.247.249.71:3129 1427ms BR [Google LLC]
🇫🇷 62.210.209.223:3128 314ms FR [Online S.A.S.]
🇫🇮 65.109.235.123:8080 880ms FI [Hetzner Online GmbH]
🇧🇴 186.121.235.66:8080 2392ms BO [AXS Bolivia S. A.]
🇸🇬 178.128.124.134:3128 2887ms SG [DigitalOcean, LLC]
🇷🇺 158.160.56.149:8080 927ms RU [Yandex.Cloud LLC]
🇩🇪 136.243.55.199:3128 1760ms DE [Hetzner Online GmbH]
🇫🇮 95.216.194.12:8080 546ms FI [Hetzner Online GmbH]
🇫🇮 65.108.55.44:8080 412ms FI [Hetzner Online GmbH]
🇩🇪 88.99.175.165:8080 444ms DE [Hetzner Online GmbH]
🇩🇪 5.75.232.58:8080 642ms DE [Hetzner Online GmbH]
🇧🇷 201.6.117.108:8082 3900ms BR [Claro NXT Telecomunicacoes Ltda]
🇮🇷 37.32.12.216:4006 1916ms IR [Noyan Abr Arvan Co. ( Private Joint Stock)]
🇩🇪 91.107.211.49:8080 473ms DE [Hetzner Online AG]
🇨🇲 154.70.107.81:3128 1434ms CM [MTN Network Solutions (Cameroon)]
🇮🇩 103.168.44.41:9191 1051ms ID [PT CYB Media Group]
🇫🇮 65.109.128.213:8080 693ms FI [Hetzner Online GmbH]
🇸🇬 178.128.49.59:3128 1343ms SG [DigitalOcean, LLC]
🇫🇷 51.159.0.236:3128 905ms FR [SCALEWAY]
🇲🇽 186.96.178.178:999 2005ms MX [Total Play Telecomunicaciones SA De CV]
🇧🇷 177.8.169.79:8082 4506ms BR [Grupohost Comunicacao Multimidia Ltda]
🇨🇳 47.89.35.147:5000 2528ms CN [Alibaba.com LLC]
🇸🇬 139.99.95.108:8080 1925ms SG [OVH Singapore PTE. LTD]
🇮🇩 103.169.187.76:8080 732ms ID [PT. PRATAMA HASTA UTAMA SOLUSINDO]
🇫🇮 135.181.197.116:8080 1733ms FI [Hetzner Online GmbH]
🇫🇮 65.21.6.111:8080 656ms FI [Hetzner Online GmbH]
🇭🇰 119.8.120.4:80 4223ms HK [Huawei International Pte. LTD]
🇮🇩 203.210.85.119:8080 3858ms ID [Infrastruktur STARNET]
🇫🇮 65.21.251.57:8080 459ms FI [Hetzner Online GmbH]
🇩🇪 5.75.233.225:8080 398ms DE [Hetzner Online GmbH]
🇫🇮 135.181.154.250:8080 1522ms FI [Hetzner Online GmbH]
🇮🇩 103.111.191.110:80 4145ms ID [PT Cyberindo Aditama]
🇫🇮 65.109.15.152:8080 1379ms FI [Hetzner Online GmbH]
🇫🇮 65.109.14.254:8080 1475ms FI [Hetzner Online GmbH]
🇮🇩 114.4.233.46:8080 4909ms ID [PT. INDOSAT Tbk]
🇫🇮 65.109.238.246:8080 1382ms FI [Hetzner Online GmbH]
🇫🇮 65.109.168.231:8080 1476ms FI [Hetzner Online GmbH]
🇫🇮 65.108.53.68:8080 593ms FI [Hetzner Online GmbH]
🇫🇮 65.108.240.162:8080 645ms FI [Hetzner Online GmbH]
🇫🇮 65.108.157.140:8080 1604ms FI [Hetzner Online GmbH]
🇫🇮 135.181.28.122:8080 592ms FI [Hetzner Online GmbH]
🇫🇮 135.181.250.121:8080 593ms FI [Hetzner Online GmbH]
🇸🇬 154.26.129.77:10299 468ms SG [Cogent Communications]
🇩🇪 192.248.177.222:8118 122ms DE [The Constant Company]
🇲🇽 187.251.153.234:999 3032ms MX [Total Play Telecomunicaciones SA De CV]
🇩🇪 88.99.136.198:1081 590ms DE [Hetzner Online GmbH]
🇸🇬 40.119.236.22:80 958ms SG [Microsoft Corporation]
🇮🇳 152.67.10.190:8100 1120ms IN [Oracle Corporation]
🇮🇳 129.154.225.163:8100 1157ms IN [Oracle Corporation]
🇵🇱 80.51.213.226:8118 2675ms PL [Orange Polska SA]
🇺🇸 107.152.42.65:8080 1758ms US [tzulo, inc.]
🇬🇧 31.220.89.24:8080 450ms GB [Contabo GmbH]
🇺🇸 20.69.79.158:8443 1548ms US [Microsoft Corporation]
🇦🇷 190.210.62.131:8080 7721ms AR [NSS S.A.]
🇺🇸 174.138.184.82:35829 1041ms US [Interserver, Inc]
🇮🇩 103.145.213.46:41890 1478ms ID [PT Aplikanusa Lintasarta]
🇦🇷 181.167.81.69:8080 4132ms AR [Telecom Argentina S.A]
🇫🇷 178.33.3.163:8080 85ms FR [OVH SAS]
🇮🇩 103.159.194.228:8080 3880ms ID [PT Giga Digital Nusantara]
🇮🇳 103.160.207.49:32650 1680ms IN [Moradabad Internet Services Private Limited]
🇺🇸 108.61.191.222:1994 810ms US [The Constant Company]
🇮🇩 103.190.112.244:8080 4841ms ID [PT Linkbit Inovasi Teknologi]
🇺🇸 102.165.51.172:3128 567ms US [Stallion Network Services Limited]
🇹🇼 140.120.15.146:8088 1708ms TW [T-NCHU.EDU.TW]
🇫🇷 82.66.210.159:8118 741ms FR [Proxad / Free SAS]
🇫🇮 135.181.114.87:46764 694ms FI [Hetzner Online GmbH]
🇺🇦 91.243.192.17:3128 5183ms UA ["Fregat TV" Ltd.]
🇺🇸 167.172.238.15:9999 1508ms US [DigitalOcean, LLC]
🇮🇩 103.158.121.149:8088 4994ms ID [CDN]
🇦🇷 177.136.86.145:999 4044ms AR [Access AIR Sociedad Simple]
🇦🇷 181.10.204.85:999 3465ms AR [Telecom Argentina S.A.]
🇫🇮 65.108.230.239:42899 2100ms FI [Hetzner Online GmbH]
🇺🇸 64.225.8.82:9999 2081ms US [DigitalOcean, LLC]
🇫🇷 163.172.31.44:80 1468ms FR [Online S.A.S.]
🇧🇷 189.83.182.149:8080 3586ms BR [V tal]
🇮🇩 103.143.197.19:8080 2901ms ID [JERNIHNETWORK]
🇮🇳 103.48.68.107:84 3574ms IN [Country Online Services PVT LTD]
🇮🇳 103.48.68.108:82 3260ms IN [Country Online Services PVT LTD]
🇮🇩 203.142.69.254:8080 1474ms ID [BIZNET]
🇹🇷 176.33.14.34:3127 2734ms TR [Tellcom Main Network Statement]
🇹🇷 188.132.222.6:8080 4417ms TR [High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.]
🇫🇮 65.108.230.238:42645 1910ms FI [Hetzner Online GmbH]
🇿🇦 196.6.235.26:8080 3805ms ZA [BeOnline]
🇩🇪 157.245.27.9:3128 725ms DE [DigitalOcean, LLC]
🇮🇩 103.156.233.175:3125 1688ms ID [MULTIMEDIALINKTECH]
🇺🇸 165.227.81.188:9999 1512ms US [DigitalOcean, LLC]
🇮🇩 175.184.234.19:8080 754ms ID [PT.Indonesia Comnets Plus]
🇺🇸 64.225.4.12:9999 1291ms US [DigitalOcean, LLC]
🇰🇿 95.56.254.139:3128 2769ms KZ [JSC Kazakhtelecom]
🇮🇳 103.148.39.42:83 2265ms IN [Broadway Communication Pvt Ltd]
🇧🇴 200.105.215.22:33630 3931ms BO [AXS Bolivia S. A.]
🇮🇳 117.251.103.186:8080 863ms IN [BSNL Internet]
🇮🇩 36.93.177.146:8080 3686ms ID [Telekomunikasi Indonesia]
🇯🇵 118.27.33.17:8118 2474ms JP [GMO Internet, Inc]
🇮🇩 114.5.181.10:8080 3576ms ID [PT. INDOSAT Tbk]
🇷🇸 87.250.63.172:8118 2003ms RS [TELEKOM SRBIJA a.d.]
🇺🇸 159.89.128.130:8989 1869ms US [DigitalOcean, LLC]
🇮🇩 58.147.187.46:3125 1672ms ID [PT. Transhybrid Communication]
🇮🇩 103.36.8.155:3125 7636ms ID [PT Awinet Global Mandiri]
🇮🇩 103.105.78.211:3125 7998ms ID [GARUDA]
🇸🇬 8.219.97.248:80 304ms SG [Alibaba (US) Technology Co., Ltd.]
🇸🇬 68.183.185.62:80 3286ms SG [DigitalOcean, LLC]
🇮🇩 118.99.96.173:8080 728ms ID [Biznet Networks]
🇯🇵 183.181.8.173:11070 860ms JP [FreeBit Co., Ltd.]
🇮🇩 147.139.181.92:3128 1426ms ID [Alibaba.com LLC]
🇮🇩 139.255.74.124:8080 3782ms ID [PT. LINKNET]
🇲🇽 45.167.253.129:999 3931ms MX [QDS NETWORKS SA DE CV]
🇮🇩 103.159.220.141:8080 477ms ID [Universitas Muhammadiyah Jakarta]
🇮🇩 202.51.114.210:3128 4762ms ID [PT iForte Global Internet]
🇮🇩 103.156.216.178:3128 4835ms ID [PT. Meiwa Mold Indonesia]
🇦🇷 181.209.106.187:8080 4007ms AR [ARSAT - Empresa Argentina de Soluciones Satelitales S.A]
🏳 144.217.253.209:9300 1895ms  []
🇨🇦 158.69.66.247:9300 2737ms CA [OVH SAS]
🇨🇦 158.69.73.79:9300 2445ms CA [OVH SAS]
🇳🇬 105.112.191.250:3128 1970ms NG [Airtel Networks Limited]
🇦🇷 181.192.2.23:8080 4421ms AR [Coop Telefonica Villa Gesell Ltda]
🇧🇷 168.205.102.26:8080 3437ms BR [C-ComTelecom Servios Ltda-ME]
🇮🇩 116.254.100.165:46675 493ms ID [Bangun Abadi Teknologi Indonesia]
🇺🇸 104.192.202.11:8080 3365ms US [Go Fiber]
🇮🇳 14.140.131.82:3128 1578ms IN [Tata Communications Limited]
